timestamp,symbol,open,high,low,close,volume
2026-02-02,AAA.XSHG,9.90,10.10,9.80,10.00,100000
2026-02-02,BBB.XSHG,9.90,10.10,9.80,10.00,100000
2026-02-02,CCC.XSHG,9.90,10.10,9.80,10.00,100000
2026-02-03,AAA.XSHG,10.90,11.10,10.80,11.00,110000
2026-02-03,BBB.XSHG,10.40,10.60,10.30,10.50,110000
2026-02-03,CCC.XSHG,10.10,10.30,10.00,10.20,110000
2026-02-04,AAA.XSHG,11.00,11.20,10.90,11.10,120000
2026-02-04,BBB.XSHG,11.90,12.10,11.80,12.00,120000
2026-02-04,CCC.XSHG,10.10,10.30,10.00,10.20,120000
2026-02-05,AAA.XSHG,11.10,11.30,11.00,11.20,130000
2026-02-05,BBB.XSHG,13.10,13.30,13.00,13.20,130000
2026-02-05,CCC.XSHG,10.20,10.40,10.10,10.30,130000
2026-02-06,AAA.XSHG,11.20,11.40,11.10,11.30,140000
2026-02-06,BBB.XSHG,14.40,14.60,14.30,14.50,140000
2026-02-06,CCC.XSHG,10.30,10.50,10.20,10.40,140000
2026-02-09,AAA.XSHG,11.30,11.50,11.20,11.40,150000
2026-02-09,BBB.XSHG,15.90,16.10,15.80,16.00,150000
2026-02-09,CCC.XSHG,10.40,10.60,10.30,10.50,150000
